순위,업소명,주소,분류,합산 검색 수,정보
54,오장동함흥냉면,서울 중구 마른내로 108-0,한식,22885,"https://map.naver.com/v5/search/%EC%98%A4%EC%9E%A5%EB%8F%99%ED%95%A8%ED%9D%A5%EB%83%89%EB%A9%B4/place/19866570?c=14137097.1750092,4518061.0005769,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
55,키누카누,서울 강서구 공항대로 247-0,외국식,22867,"https://map.naver.com/v5/search/%ED%82%A4%EB%88%84%EC%B9%B4%EB%88%84/place/1756519625?c=14118707.9409706,4517351.5970399,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
56,성북동면옥집,서울 성북구 대사관로 40-0,한식,22849,"https://map.naver.com/v5/search/%EC%84%B1%EB%B6%81%EB%8F%99%EB%A9%B4%EC%98%A5%EC%A7%91/place/37101627?c=14135844.0960291,4522498.9399323,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
57,카페노티드잠실,서울 송파구 백제고분로45길 3-0,카페/찻집,22733,"https://map.naver.com/v5/search/%EC%B9%B4%ED%8E%98%EB%85%B8%ED%8B%B0%EB%93%9C%EC%9E%A0%EC%8B%A4/place/1275012228?c=14145100.6413953,4509887.3504403,13,0,0,0,dh&placePath=%3Fentry%253Dbmp"
58,원조남산돈까스,서울 중구 소파로 23-0,전문음식,22569,"https://map.naver.com/v5/search/%EC%9B%90%EC%A1%B0%EB%82%A8%EC%82%B0%EB%8F%88%EA%B9%8C%EC%8A%A4/place/37717350?c=14135564.0384541,4517087.7105239,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
59,스타벅스종암DT점,서울 성북구 종암로 17-0,카페/찻집,22508,"https://map.naver.com/v5/search/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%EC%A2%85%EC%95%94DT%EC%A0%90/place/1447459716?c=14141121.5081843,4521941.6781032,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
60,카페노티드서래,서울 서초구 방배로32길 30-9,카페/찻집,22444,"https://map.naver.com/v5/search/%EC%B9%B4%ED%8E%98%EB%85%B8%ED%8B%B0%EB%93%9C/place/1490841787?c=14134957.2998598,4507815.7185782,13,0,0,0,dh&placePath=%3Fentry%253Dbmp"
61,을밀대본점,서울 마포구 숭문길 24-0,한식,22228,"https://map.naver.com/v5/search/%EC%9D%84%EB%B0%80%EB%8C%80/place/11679611?c=14129645.3104611,4515697.1362738,13,0,0,0,dh&placePath=%3Fentry%253Dbmp"
62,보메청담,서울 강남구 선릉로152길 40-0,전문음식,22120,"https://map.naver.com/v5/search/%EB%B3%B4%EB%A9%94%EC%B2%AD%EB%8B%B4/place/1069165695?c=14141861.8384581,4512445.1853912,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
63,스타벅스송파방이DT점,서울 송파구 오금로 241-0,카페/찻집,21904,"https://map.naver.com/v5/search/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%EC%86%A1%ED%8C%8C%EB%B0%A9%EC%9D%B4DT%EC%A0%90/place/38531319?c=14141861.8384581,4512445.1853912,15,0,0,0,dh&isCorrectAnswer=true"
64,몽탄,서울 용산구 백범로99길 50-0,한식,21886,"https://map.naver.com/v5/search/%EB%AA%BD%ED%83%84/place/1810277002?c=14134020.4267350,4514085.4027385,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
65,63뷔페파빌리온,서울 영등포구 63로 50-0,전문음식,21876,"https://map.naver.com/v5/search/63%EB%B7%94%ED%8E%98%ED%8C%8C%EB%B9%8C%EB%A6%AC%EC%98%A8/place/12846157?c=14130384.4538246,4511811.1664093,15,0,0,0,dh&isCorrectAnswer=true"
66,송림식당[한식],서울 광진구 자양번영로 79-0,한식,21819,"https://map.naver.com/v5/search/%EC%86%A1%EB%A6%BC%EC%8B%9D%EB%8B%B9%5B%ED%95%9C%EC%8B%9D%5D/place/11717380?c=14145615.7654589,4514180.9477602,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
67,원조남산왕돈까스,서울 중구 소파로 107-0,전문음식,21767,"https://map.naver.com/v5/search/%EC%9B%90%EC%A1%B0%EB%82%A8%EC%82%B0%EC%99%95%EB%8F%88%EA%B9%8C%EC%8A%A4/place/37717350?c=14135564.0384546,4517087.7105241,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
68,함경도찹쌀순대,서울 송파구 송파대로28길 32-0,한식,21626,"https://map.naver.com/v5/search/%ED%95%A8%EA%B2%BD%EB%8F%84%EC%B0%B9%EC%8C%80%EC%88%9C%EB%8C%80/place/21037816?c=14150619.9550564,4508304.4174562,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
69,공항칼국수,서울 강서구 공항대로 18-1,한식,21529,"https://map.naver.com/v5/search/%EA%B3%B5%ED%95%AD%EC%B9%BC%EA%B5%AD%EC%88%98/place/19877546?c=14115861.1453685,4517581.2252898,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
70,나정순할매주꾸미,서울 동대문구 무학로 144-0,전문음식,21078,"https://map.naver.com/v5/search/%EB%82%98%EC%A0%95%EC%88%9C%ED%95%A0%EB%A7%A4%EC%A3%BC%EA%BE%B8%EB%AF%B8/place/11829657?c=14140525.6483464,4519855.2832805,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
